Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SW,83,2/8/2016,05:46,SSW,43,2/8/2016,08:00
Central Pier,WSW,96,2/8/2016,05:30,W,51,2/8/2016,03:00
Cheung Chau,WNW,104,2/8/2016,03:01,SSW,68,2/8/2016,06:00
Cheung Chau Beach,WNW,99,2/8/2016,01:28,SW,59,2/8/2016,06:00
Green Island,SSW,128,2/8/2016,06:18,SSW,99,2/8/2016,07:00
Hong Kong International Airport,SW,117,2/8/2016,06:45,SW,72,2/8/2016,07:00
Kai Tak,NW,96,2/8/2016,00:29,WNW,47,2/8/2016,01:00
King's Park,WSW,92,2/8/2016,05:52,WSW,36,2/8/2016,06:00
Lau Fau Shan,S,108,2/8/2016,07:09,WNW,63,2/8/2016,03:00
Ngong Ping,SW,158,2/8/2016,07:31,SSW,121,2/8/2016,09:00
North Point,WSW,75,2/8/2016,05:03,W,41,2/8/2016,04:00
Peng Chau,WNW,99,2/8/2016,01:57,WNW,59,2/8/2016,02:00
Ping Chau,NNW,59,2/8/2016,00:28,NW,20,2/8/2016,01:00
Sai Kung,NNW,87,1/8/2016,23:06,S,49,2/8/2016,07:00
Sha Chau,SSW,110,2/8/2016,06:49,SSW,77,2/8/2016,08:00
Sha Lo Wan,SSW,104,2/8/2016,06:56,SSW,52,2/8/2016,08:00
Sha Tin,SSW,87,2/8/2016,05:52,SSW,36,2/8/2016,07:00
Shek Kong,S,67,2/8/2016,10:04,NW,25,2/8/2016,01:00
,,,,,S,25,2/8/2016,08:00
Star Ferry (Kowloon),WSW,112,2/8/2016,05:18,W,47,2/8/2016,04:00
Ta Kwu Ling,SSE,63,2/8/2016,10:31,SSE,27,2/8/2016,10:00
,,,,,SSE,27,2/8/2016,11:00
Tai Mei Tuk,SW,104,2/8/2016,06:04,WSW,58,2/8/2016,07:00
Tai Mo Shan,SW,158,2/8/2016,06:45,SSW,101,2/8/2016,08:00
Tai Po Kau,S,70,2/8/2016,06:09,WNW,34,2/8/2016,01:00
Tap Mun,NW,81,2/8/2016,01:22,WNW,41,2/8/2016,03:00
Tate's Cairn,NW,128,2/8/2016,01:45,NNW,75,1/8/2016,23:00
Tseung Kwan O,S,70,2/8/2016,06:11,NNW,25,1/8/2016,23:00
Tsing Yi Shell Oil Depot,SSE,79,2/8/2016,06:27,S,47,2/8/2016,07:00
Tuen Mun Government Offices,WNW,92,2/8/2016,04:02,S,31,2/8/2016,08:00
Waglan Island,SSW,121,2/8/2016,05:23,SSW,94,2/8/2016,06:00
Wetland Park,SW,68,2/8/2016,07:05,NW,31,2/8/2016,03:00
Wong Chuk Hang,WNW,75,2/8/2016,00:01,WNW,30,2/8/2016,01:00
