Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SSE,62,18/8/2016,02:26,SSE,38,18/8/2016,04:00
Central Pier,SE,52,18/8/2016,02:45,E,30,17/8/2016,12:00
Cheung Chau,SE,79,18/8/2016,03:56,SE,49,18/8/2016,04:00
Cheung Chau Beach,E,56,17/8/2016,23:35,E,38,17/8/2016,23:00
Green Island,SSE,70,18/8/2016,02:54,NE,40,17/8/2016,12:00
Hong Kong International Airport,SE,54,18/8/2016,04:01,SSE,27,18/8/2016,05:00
Kai Tak,ESE,62,18/8/2016,07:03,ESE,30,18/8/2016,04:00
King's Park,SE,49,18/8/2016,06:58,ESE,19,18/8/2016,07:00
Lau Fau Shan,ENE,47,17/8/2016,12:41,ENE,27,17/8/2016,13:00
,ENE,47,17/8/2016,12:58,,,,
Ngong Ping,SW,96,18/8/2016,09:25,E,63,17/8/2016,23:00
North Point,ENE,41,17/8/2016,12:16,E,30,17/8/2016,12:00
,ESE,41,18/8/2016,02:55,,,,
Peng Chau,E,51,18/8/2016,02:47,E,27,17/8/2016,12:00
,SE,51,18/8/2016,04:09,,,,
,ESE,51,18/8/2016,07:07,,,,
Ping Chau,SE,31,18/8/2016,02:59,E,6,17/8/2016,12:00
,,,,,SE,6,18/8/2016,11:00
Sai Kung,SSE,62,18/8/2016,02:31,SSE,30,18/8/2016,08:00
Sha Chau,SE,51,18/8/2016,03:33,SE,34,18/8/2016,04:00
Sha Lo Wan,E,75,18/8/2016,04:16,E,25,18/8/2016,07:00
Sha Tin,SSE,54,18/8/2016,02:56,SE,16,18/8/2016,05:00
Shek Kong,ENE,49,17/8/2016,18:51,E,22,17/8/2016,19:00
Star Ferry (Kowloon),E,54,18/8/2016,01:59,E,31,18/8/2016,07:00
Ta Kwu Ling,E,43,18/8/2016,02:49,ENE,14,18/8/2016,03:00
Tai Mei Tuk,SE,62,18/8/2016,02:44,E,36,17/8/2016,13:00
Tai Mo Shan,SE,104,18/8/2016,03:45,SE,68,18/8/2016,04:00
Tai Po Kau,ESE,52,18/8/2016,02:41,ESE,30,18/8/2016,03:00
Tap Mun,SE,65,18/8/2016,02:52,SE,30,18/8/2016,06:00
Tate's Cairn,S,76,18/8/2016,03:03,S,38,18/8/2016,04:00
,S,76,18/8/2016,08:19,,,,
Tseung Kwan O,E,63,18/8/2016,02:31,E,13,18/8/2016,02:00
Tsing Yi Shell Oil Depot,ESE,43,18/8/2016,02:57,E,20,18/8/2016,08:00
Tuen Mun Government Offices,SE,51,18/8/2016,03:51,SE,23,18/8/2016,04:00
Waglan Island,SE,81,18/8/2016,02:27,SE,56,18/8/2016,03:00
Wetland Park,ENE,38,17/8/2016,12:34,ENE,16,17/8/2016,13:00
Wong Chuk Hang,SE,52,18/8/2016,06:42,E,22,18/8/2016,04:00
