Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NW,27,14/9/2016,14:05,NW,14,14/9/2016,16:00
Central Pier,W,41,14/9/2016,16:25,WNW,22,14/9/2016,20:00
Cheung Chau,NNW,43,14/9/2016,16:17,NW,25,14/9/2016,18:00
,NW,43,14/9/2016,17:30,,,,
Cheung Chau Beach,WNW,43,14/9/2016,16:27,WNW,19,14/9/2016,16:00
Green Island,NNW,49,14/9/2016,19:15,NNW,31,14/9/2016,21:00
Hong Kong International Airport,NNW,40,14/9/2016,17:25,NNW,31,14/9/2016,23:00
Kai Tak,W,38,14/9/2016,15:44,NW,22,14/9/2016,17:00
King's Park,NNW,34,14/9/2016,22:36,N,13,14/9/2016,21:00
Lau Fau Shan,WNW,40,14/9/2016,15:56,NNW,30,14/9/2016,19:00
,WNW,40,14/9/2016,15:59,,,,
,WNW,40,14/9/2016,16:00,,,,
Ngong Ping,WNW,41,14/9/2016,14:34,WNW,25,14/9/2016,15:00
North Point,WSW,40,14/9/2016,15:09,WSW,27,14/9/2016,16:00
Peng Chau,WNW,45,14/9/2016,15:43,WNW,30,14/9/2016,17:00
Ping Chau,WNW,23,14/9/2016,13:24,NW,9,14/9/2016,21:00
Sai Kung,NNW,41,14/9/2016,23:15,NNE,23,14/9/2016,11:00
Sha Chau,NNW,49,14/9/2016,17:23,NNW,30,15/9/2016,00:00
Sha Lo Wan,W,27,14/9/2016,14:12,W,12,14/9/2016,14:00
Sha Tin,N,30,15/9/2016,01:40,N,12,15/9/2016,02:00
,,,,,N,12,15/9/2016,03:00
Shek Kong,WNW,31,14/9/2016,13:21,WNW,12,14/9/2016,14:00
Star Ferry (Kowloon),WNW,36,14/9/2016,17:40,W,25,14/9/2016,16:00
Ta Kwu Ling,WNW,30,14/9/2016,16:57,NNW,12,14/9/2016,15:00
Tai Mei Tuk,NE,36,14/9/2016,15:42,ENE,14,14/9/2016,11:00
Tai Mo Shan,NNW,58,14/9/2016,21:35,NNW,40,14/9/2016,22:00
Tai Po Kau,WNW,38,14/9/2016,15:28,NW,19,14/9/2016,15:00
Tap Mun,W,36,14/9/2016,21:25,WNW,14,14/9/2016,14:00
Tate's Cairn,NNW,58,14/9/2016,22:53,NNW,45,15/9/2016,00:00
Tseung Kwan O,N,31,14/9/2016,21:32,N,12,14/9/2016,22:00
,,,,,N,12,14/9/2016,23:00
Tsing Yi Shell Oil Depot,NW,36,14/9/2016,20:06,WNW,19,14/9/2016,17:00
Tuen Mun Government Offices,W,41,14/9/2016,17:19,WNW,14,14/9/2016,15:00
,,,,,WNW,14,14/9/2016,16:00
Waglan Island,WNW,41,14/9/2016,15:28,WNW,30,14/9/2016,16:00
Wetland Park,NNW,30,14/9/2016,17:11,NNW,13,14/9/2016,18:00
