Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,38,7/10/2020,00:52,ESE,22,7/10/2020,01:00
Central Pier,E,40,6/10/2020,22:09,WNW,22,8/10/2020,10:00
Cheung Chau,NNE,52,8/10/2020,21:46,N,31,8/10/2020,22:00
Cheung Chau Beach,ENE,56,6/10/2020,22:39,NE,30,8/10/2020,22:00
Green Island,NE,56,6/10/2020,21:24,N,38,8/10/2020,22:00
Hong Kong International Airport,NNW,49,7/10/2020,13:30,N,30,8/10/2020,12:00
,NNW,49,7/10/2020,13:31,,,,
Kai Tak,NNE,43,9/10/2020,00:21,N,16,8/10/2020,08:00
,,,,,NW,16,8/10/2020,12:00
King's Park,ENE,45,8/10/2020,07:24,NNE,14,8/10/2020,09:00
Lau Fau Shan,N,49,8/10/2020,22:57,N,31,8/10/2020,23:00
North Point,NNW,38,8/10/2020,11:25,N,19,8/10/2020,09:00
Peng Chau,N,38,8/10/2020,18:29,NNW,25,8/10/2020,20:00
Ping Chau,N,31,8/10/2020,22:59,NNW,7,8/10/2020,08:00
,,,,,NNW,7,8/10/2020,09:00
Sai Kung,NNE,59,8/10/2020,20:23,N,30,8/10/2020,19:00
Sha Chau,N,72,7/10/2020,13:24,N,41,8/10/2020,23:00
Sha Lo Wan,NNE,30,8/10/2020,16:24,NNE,14,8/10/2020,17:00
Sha Tin,NNE,41,8/10/2020,22:02,N,14,8/10/2020,21:00
,,,,,N,14,8/10/2020,22:00
,,,,,NNE,14,8/10/2020,23:00
Shek Kong,E,30,7/10/2020,00:55,NE,13,7/10/2020,13:00
,NE,30,7/10/2020,13:38,,,,
Star Ferry (Kowloon),E,40,6/10/2020,22:05,WNW,16,8/10/2020,10:00
Ta Kwu Ling,NNW,30,7/10/2020,08:57,N,13,7/10/2020,10:00
Tai Mei Tuk,NE,59,8/10/2020,08:12,NE,30,8/10/2020,10:00
Tai Po Kau,N,31,8/10/2020,08:35,WNW,14,8/10/2020,09:00
Tap Mun,N,49,9/10/2020,03:34,NNW,19,8/10/2020,07:00
Tate's Cairn,N,76,8/10/2020,19:22,N,54,9/10/2020,00:00
,,,,,N,54,9/10/2020,01:00
Tseung Kwan O,NNW,34,8/10/2020,03:34,NNW,13,8/10/2020,18:00
Tsing Yi Shell Oil Depot,NW,38,8/10/2020,08:53,NW,16,8/10/2020,10:00
Tuen Mun Government Offices,NNE,36,7/10/2020,13:20,NNE,14,7/10/2020,14:00
Waglan Island,E,65,7/10/2020,00:23,E,47,7/10/2020,01:00
Wetland Park,N,31,9/10/2020,01:10,ENE,13,7/10/2020,14:00
