Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,76,17/10/2016,19:46,ESE,47,18/10/2016,18:00
Central Pier,E,70,18/10/2016,17:32,E,43,17/10/2016,23:00
Cheung Chau,ESE,99,18/10/2016,12:39,ESE,59,18/10/2016,19:00
Cheung Chau Beach,ENE,104,18/10/2016,12:18,E,67,18/10/2016,13:00
Green Island,ENE,90,18/10/2016,17:51,NE,59,17/10/2016,22:00
Hong Kong International Airport,ESE,59,18/10/2016,17:57,E,36,18/10/2016,13:00
Kai Tak,E,83,18/10/2016,17:22,E,41,18/10/2016,18:00
King's Park,ESE,59,18/10/2016,08:32,SE,30,18/10/2016,22:00
Lau Fau Shan,E,62,18/10/2016,13:17,ENE,25,17/10/2016,23:00
North Point,E,76,18/10/2016,08:04,E,45,18/10/2016,08:00
Peng Chau,E,72,18/10/2016,12:12,E,51,18/10/2016,13:00
Ping Chau,ENE,40,18/10/2016,16:41,E,14,18/10/2016,17:00
Sai Kung,E,77,18/10/2016,15:16,ENE,40,18/10/2016,09:00
Sha Chau,ESE,63,18/10/2016,12:37,ESE,41,18/10/2016,20:00
Sha Lo Wan,E,68,18/10/2016,11:06,ENE,31,18/10/2016,10:00
,,,,,ENE,31,18/10/2016,11:00
,,,,,E,31,18/10/2016,12:00
Sha Tin,SE,62,18/10/2016,15:29,NE,16,17/10/2016,09:00
,,,,,NNE,16,17/10/2016,10:00
,,,,,NE,16,18/10/2016,10:00
,,,,,E,16,18/10/2016,13:00
Shek Kong,E,67,18/10/2016,17:45,E,31,18/10/2016,13:00
Star Ferry (Kowloon),E,75,18/10/2016,07:43,E,40,18/10/2016,13:00
Ta Kwu Ling,E,65,18/10/2016,15:45,ENE,22,18/10/2016,16:00
,,,,,E,22,18/10/2016,19:00
Tai Mei Tuk,ESE,96,18/10/2016,12:10,E,63,18/10/2016,16:00
Tai Mo Shan,SE,118,18/10/2016,17:42,ESE,77,18/10/2016,15:00
Tai Po Kau,ESE,70,18/10/2016,15:37,E,43,18/10/2016,13:00
Tap Mun,ENE,67,18/10/2016,08:09,ESE,34,18/10/2016,18:00
Tate's Cairn,E,112,18/10/2016,12:05,E,68,18/10/2016,11:00
Tseung Kwan O,E,58,18/10/2016,11:30,N,13,17/10/2016,22:00
,,,,,NNE,13,17/10/2016,23:00
Tsing Yi Shell Oil Depot,ESE,59,18/10/2016,12:19,ESE,23,18/10/2016,13:00
Tuen Mun Government Offices,ESE,49,18/10/2016,15:50,SE,16,18/10/2016,19:00
Waglan Island,ENE,92,17/10/2016,20:54,ENE,72,17/10/2016,22:00
Wetland Park,ESE,43,18/10/2016,12:58,E,16,18/10/2016,13:00
,E,43,18/10/2016,13:07,,,,
Wong Chuk Hang,NNW,70,18/10/2016,20:21,NNW,30,18/10/2016,08:00
