Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,68,12/6/2017,15:50,E,31,12/6/2017,14:00
Central Pier,NE,81,12/6/2017,18:12,WNW,51,12/6/2017,22:00
Cheung Chau,WNW,92,12/6/2017,23:08,WNW,58,13/6/2017,00:00
Cheung Chau Beach,SW,79,13/6/2017,06:10,NE,51,12/6/2017,16:00
Green Island,SSW,96,13/6/2017,08:21,NNW,63,12/6/2017,22:00
,,,,,SW,63,13/6/2017,07:00
Hong Kong International Airport,SW,79,13/6/2017,06:04,NW,51,12/6/2017,23:00
Kai Tak,WSW,85,13/6/2017,06:16,W,41,13/6/2017,00:00
King's Park,N,77,12/6/2017,20:30,WNW,30,13/6/2017,00:00
Lau Fau Shan,NW,75,12/6/2017,23:34,NNW,52,12/6/2017,22:00
Ngong Ping,WSW,110,13/6/2017,05:38,WSW,77,13/6/2017,06:00
North Point,WSW,96,13/6/2017,05:18,W,59,13/6/2017,00:00
Peng Chau,NW,83,12/6/2017,21:16,NW,49,12/6/2017,22:00
Ping Chau,W,68,13/6/2017,00:20,W,36,13/6/2017,01:00
Sai Kung,NNE,99,12/6/2017,20:34,N,49,12/6/2017,21:00
Sha Chau,N,79,12/6/2017,19:54,N,58,12/6/2017,20:00
Sha Tin,SW,59,13/6/2017,04:20,N,23,12/6/2017,21:00
,,,,,SW,23,13/6/2017,07:00
Star Ferry (Kowloon),W,77,12/6/2017,23:38,W,59,13/6/2017,00:00
Ta Kwu Ling,W,54,12/6/2017,23:41,WNW,22,13/6/2017,00:00
Tai Mei Tuk,NNE,103,12/6/2017,20:21,NNE,54,12/6/2017,21:00
Tai Mo Shan,NW,124,12/6/2017,23:10,W,77,13/6/2017,02:00
Tai Po Kau,WNW,75,12/6/2017,23:24,WNW,40,12/6/2017,23:00
Tap Mun,W,94,12/6/2017,23:16,W,58,13/6/2017,00:00
Tate's Cairn,NNE,131,12/6/2017,20:14,N,85,12/6/2017,21:00
Tseung Kwan O,NNE,68,12/6/2017,18:58,NNW,23,12/6/2017,21:00
Tsing Yi Shell Oil Depot,NNW,65,12/6/2017,20:59,NW,31,12/6/2017,21:00
Tuen Mun Government Offices,WNW,72,13/6/2017,00:24,WNW,25,13/6/2017,01:00
Waglan Island,N,113,12/6/2017,19:53,NNE,87,12/6/2017,20:00
Wetland Park,NW,52,12/6/2017,23:34,NW,22,13/6/2017,00:00
Wong Chuk Hang,W,77,12/6/2017,21:35,W,31,12/6/2017,22:00
