Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),E,38,23/7/2017,15:23,E,20,23/7/2017,16:00
Central Pier,ESE,40,23/7/2017,15:37,E,25,23/7/2017,16:00
Cheung Chau,ESE,52,23/7/2017,15:53,ESE,34,23/7/2017,17:00
Cheung Chau Beach,E,49,23/7/2017,15:55,E,36,23/7/2017,17:00
Green Island,NNW,59,23/7/2017,08:05,NNW,40,23/7/2017,09:00
Hong Kong International Airport,ESE,41,23/7/2017,16:44,ESE,27,23/7/2017,17:00
Kai Tak,ENE,45,23/7/2017,15:37,WNW,22,23/7/2017,09:00
King's Park,N,41,23/7/2017,07:13,ESE,13,23/7/2017,15:00
,,,,,SE,13,23/7/2017,16:00
Lau Fau Shan,NNW,45,23/7/2017,09:32,NNW,31,23/7/2017,10:00
Ngong Ping,E,68,23/7/2017,14:08,E,41,23/7/2017,19:00
North Point,WSW,40,23/7/2017,09:42,WSW,30,23/7/2017,10:00
,E,40,23/7/2017,15:41,,,,
Peng Chau,E,45,23/7/2017,15:53,E,25,23/7/2017,17:00
Ping Chau,ENE,67,23/7/2017,09:13,E,19,23/7/2017,10:00
Sai Kung,N,54,23/7/2017,07:50,N,23,23/7/2017,08:00
,,,,,N,23,23/7/2017,09:00
Sha Chau,NNW,41,23/7/2017,09:36,ESE,27,23/7/2017,17:00
Sha Lo Wan,SE,38,23/7/2017,14:29,SE,14,22/7/2017,20:00
Sha Tin,N,34,23/7/2017,08:08,SSW,14,23/7/2017,11:00
Shek Kong,ENE,41,23/7/2017,15:20,ENE,19,23/7/2017,16:00
Star Ferry (Kowloon),E,40,23/7/2017,15:51,W,27,23/7/2017,10:00
Ta Kwu Ling,NNW,34,23/7/2017,09:05,NNW,14,23/7/2017,10:00
Tai Mei Tuk,NNE,62,23/7/2017,08:37,E,31,23/7/2017,15:00
Tai Mo Shan,N,70,23/7/2017,09:20,SE,49,23/7/2017,14:00
,SE,70,23/7/2017,13:21,ESE,49,23/7/2017,17:00
,SE,70,23/7/2017,13:26,,,,
Tai Po Kau,W,47,23/7/2017,09:36,E,25,23/7/2017,16:00
Tap Mun East,N,72,23/7/2017,09:18,E,36,23/7/2017,15:00
Tate's Cairn,N,68,23/7/2017,07:55,N,45,23/7/2017,08:00
Tseung Kwan O,NNW,40,23/7/2017,08:30,NNW,14,23/7/2017,08:00
,,,,,NNW,14,23/7/2017,09:00
Tsing Yi Shell Oil Depot,NW,38,23/7/2017,06:58,SE,19,22/7/2017,16:00
,NW,38,23/7/2017,07:00,SE,19,22/7/2017,17:00
,NW,38,23/7/2017,07:10,NW,19,23/7/2017,08:00
Tuen Mun Government Offices,SE,31,23/7/2017,13:37,SSE,16,22/7/2017,16:00
Waglan Island,NNW,59,23/7/2017,07:57,NNW,40,23/7/2017,08:00
Wetland Park,N,30,23/7/2017,08:54,NNW,12,23/7/2017,10:00
,N,30,23/7/2017,08:58,,,,
,N,30,23/7/2017,09:02,,,,
Wong Chuk Hang,E,34,23/7/2017,16:05,E,12,23/7/2017,16:00
