Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NE,139,23/8/2017,09:06,SE,87,23/8/2017,11:00
Central Pier,E,137,23/8/2017,09:55,E,70,23/8/2017,10:00
Cheung Chau,SE,171,23/8/2017,11:01,SE,124,23/8/2017,12:00
Cheung Chau Beach,ENE,193,23/8/2017,10:15,NE,121,23/8/2017,10:00
Hong Kong International Airport,ESE,144,23/8/2017,11:55,E,90,23/8/2017,11:00
Kai Tak,NE,130,23/8/2017,08:54,ESE,67,23/8/2017,12:00
King's Park,ESE,113,23/8/2017,10:49,ESE,52,23/8/2017,11:00
Lau Fau Shan,NNE,112,23/8/2017,08:55,N,65,23/8/2017,09:00
Ngong Ping,E,224,23/8/2017,11:07,ENE,131,23/8/2017,11:00
North Point,ENE,137,23/8/2017,09:49,ENE,85,23/8/2017,10:00
Peng Chau,E,151,23/8/2017,10:53,E,96,23/8/2017,11:00
Ping Chau,ENE,77,23/8/2017,08:57,ENE,25,23/8/2017,09:00
Sai Kung,E,112,23/8/2017,10:00,NE,70,23/8/2017,10:00
Sha Chau,SSE,137,23/8/2017,12:21,ESE,88,23/8/2017,12:00
Sha Tin,NNE,104,23/8/2017,09:27,SE,38,23/8/2017,13:00
Shek Kong,NE,106,23/8/2017,09:52,E,45,23/8/2017,12:00
Star Ferry (Kowloon),E,112,23/8/2017,09:54,E,59,23/8/2017,11:00
Ta Kwu Ling,NNE,99,23/8/2017,09:42,NNE,41,23/8/2017,10:00
Tai Mei Tuk,ENE,140,23/8/2017,10:20,ENE,94,23/8/2017,10:00
,,,,,E,94,23/8/2017,11:00
Tai Mo Shan,ESE,196,23/8/2017,11:22,SE,90,23/8/2017,13:00
Tai Po Kau,ESE,113,23/8/2017,11:38,E,68,23/8/2017,11:00
Tap Mun East,ENE,122,23/8/2017,09:22,ENE,94,23/8/2017,10:00
,ENE,122,23/8/2017,09:29,,,,
Tate's Cairn,NE,187,23/8/2017,08:37,ENE,118,23/8/2017,09:00
Tseung Kwan O,ESE,96,23/8/2017,11:04,NNE,36,23/8/2017,09:00
,,,,,ESE,36,23/8/2017,12:00
Tsing Yi Shell Oil Depot,ESE,106,23/8/2017,10:40,ESE,43,23/8/2017,12:00
Tuen Mun Government Offices,SE,112,23/8/2017,11:52,SE,43,23/8/2017,13:00
Waglan Island,E,193,23/8/2017,09:10,NE,130,23/8/2017,09:00
Wetland Park,NE,76,23/8/2017,09:57,ENE,38,23/8/2017,11:00
Wong Chuk Hang,E,117,23/8/2017,10:00,E,43,23/8/2017,11:00
