Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,117,27/8/2017,05:33,ESE,68,27/8/2017,07:00
Central Pier,E,113,27/8/2017,05:13,E,63,27/8/2017,06:00
Cheung Chau,E,155,27/8/2017,06:18,ESE,101,27/8/2017,08:00
Cheung Chau Beach,ENE,146,27/8/2017,06:17,E,101,27/8/2017,07:00
Hong Kong International Airport,ESE,101,27/8/2017,07:59,ESE,68,27/8/2017,08:00
Kai Tak,E,121,27/8/2017,07:31,E,52,27/8/2017,07:00
King's Park,ESE,108,27/8/2017,06:54,ESE,47,27/8/2017,07:00
Lau Fau Shan,ENE,99,27/8/2017,06:52,ENE,54,27/8/2017,07:00
Ngong Ping,ESE,173,27/8/2017,08:14,E,118,27/8/2017,08:00
North Point,ENE,128,27/8/2017,06:14,ENE,72,27/8/2017,06:00
Peng Chau,E,122,27/8/2017,06:26,E,79,27/8/2017,07:00
Ping Chau,E,75,27/8/2017,05:40,E,22,27/8/2017,05:00
Sai Kung,NE,128,27/8/2017,05:44,ENE,67,27/8/2017,06:00
Sha Chau,ESE,110,27/8/2017,07:49,SE,77,27/8/2017,09:00
Sha Lo Wan,SE,117,27/8/2017,09:26,E,58,27/8/2017,08:00
Sha Tin,N,112,27/8/2017,05:46,NE,31,27/8/2017,07:00
Shek Kong,ENE,101,27/8/2017,07:12,NE,41,27/8/2017,06:00
Star Ferry (Kowloon),E,112,27/8/2017,06:34,E,58,27/8/2017,07:00
Ta Kwu Ling,E,88,27/8/2017,08:08,NE,34,27/8/2017,07:00
Tai Mei Tuk,ENE,146,27/8/2017,06:06,ENE,103,27/8/2017,07:00
Tai Mo Shan,SE,182,27/8/2017,09:00,SE,121,27/8/2017,10:00
Tai Po Kau,E,110,27/8/2017,06:10,E,68,27/8/2017,07:00
Tap Mun East,ENE,149,27/8/2017,07:12,E,101,27/8/2017,08:00
Tate's Cairn,E,169,27/8/2017,06:19,ESE,108,27/8/2017,07:00
Tseung Kwan O,ESE,90,27/8/2017,08:29,ESE,27,27/8/2017,09:00
Tsing Yi Shell Oil Depot,E,92,27/8/2017,07:28,ESE,31,27/8/2017,07:00
Tuen Mun Government Offices,SE,110,27/8/2017,07:57,SE,40,27/8/2017,09:00
Waglan Island,E,144,27/8/2017,05:49,E,108,27/8/2017,06:00
Wetland Park,ENE,81,27/8/2017,06:27,ENE,31,27/8/2017,07:00
Wong Chuk Hang,ESE,110,27/8/2017,06:24,E,40,27/8/2017,07:00
