Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),W,51,4/9/2017,01:37,WSW,25,4/9/2017,02:00
Central Pier,WSW,58,4/9/2017,09:43,W,22,3/9/2017,15:00
Cheung Chau,SSW,65,4/9/2017,02:42,S,45,4/9/2017,03:00
Cheung Chau Beach,SW,59,4/9/2017,05:22,SW,38,4/9/2017,08:00
Hong Kong International Airport,SW,63,4/9/2017,06:50,SW,45,4/9/2017,08:00
Kai Tak,SW,59,4/9/2017,08:06,SW,25,4/9/2017,10:00
King's Park,WSW,43,4/9/2017,08:57,W,16,4/9/2017,08:00
Lau Fau Shan,SSW,75,4/9/2017,07:14,SSW,40,4/9/2017,08:00
North Point,WSW,54,4/9/2017,11:38,W,31,4/9/2017,12:00
Peng Chau,NE,63,3/9/2017,18:12,SW,25,4/9/2017,07:00
,,,,,SW,25,4/9/2017,08:00
Ping Chau,W,43,4/9/2017,00:25,W,22,4/9/2017,01:00
Sai Kung,SW,43,4/9/2017,11:22,WSW,16,4/9/2017,12:00
Sha Chau,SSW,67,4/9/2017,05:39,SSW,47,4/9/2017,06:00
Sha Lo Wan,SSW,67,4/9/2017,10:55,SW,31,4/9/2017,07:00
Sha Tin,SW,49,4/9/2017,08:14,SW,23,4/9/2017,09:00
Shek Kong,SW,31,4/9/2017,13:06,WSW,12,4/9/2017,12:00
Star Ferry (Kowloon),WSW,70,4/9/2017,07:48,W,31,4/9/2017,08:00
Ta Kwu Ling,SW,36,4/9/2017,11:29,SSW,13,4/9/2017,11:00
Tai Mei Tuk,W,51,4/9/2017,13:22,W,31,3/9/2017,23:00
Tai Mo Shan,SW,81,4/9/2017,06:13,SW,59,4/9/2017,12:00
,SW,81,4/9/2017,11:35,,,,
Tai Po Kau,WNW,47,4/9/2017,09:38,NW,16,3/9/2017,23:00
Tap Mun East,SSW,51,4/9/2017,07:51,SSW,25,4/9/2017,06:00
,,,,,SSW,25,4/9/2017,09:00
,,,,,SW,25,4/9/2017,10:00
Tate's Cairn,SSW,81,4/9/2017,07:57,SSW,52,4/9/2017,11:00
,SSW ,81,4/9/2017,09:48,,,,
Tseung Kwan O,S,52,4/9/2017,07:49,SSW,12,4/9/2017,02:00
Tsing Yi Shell Oil Depot,SSW,40,4/9/2017,07:47,S,20,4/9/2017,04:00
Tuen Mun Government Offices,SW,54,4/9/2017,07:13,SSW,16,4/9/2017,08:00
Waglan Island,WSW,81,4/9/2017,09:40,WSW,63,4/9/2017,04:00
Wetland Park,SSW,40,4/9/2017,10:02,S,12,4/9/2017,07:00
,,,,,S,12,4/9/2017,08:00
Wong Chuk Hang,WSW,40,4/9/2017,05:55,WNW,13,4/9/2017,14:00
