Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,ESE,79,15/10/2017,17:07,ESE,36,15/10/2017,18:00
Cheung Chau,N,99,15/10/2017,07:46,ESE,65,15/10/2017,19:00
Cheung Chau Beach,ENE,101,15/10/2017,16:39,E,68,15/10/2017,18:00
Green Island,NNE,96,15/10/2017,11:10,NNE,65,15/10/2017,13:00
Hong Kong International Airport,NE,67,15/10/2017,15:03,NE,49,15/10/2017,17:00
Kai Tak,NNE,83,15/10/2017,11:25,E,31,15/10/2017,18:00
King's Park,NE,81,15/10/2017,08:37,NE,34,15/10/2017,09:00
Lau Fau Shan,NNE,65,15/10/2017,12:18,N,40,14/10/2017,21:00
,NE,65,15/10/2017,16:12,,,,
North Point,NE,76,15/10/2017,11:26,ENE,43,15/10/2017,13:00
Peng Chau,NNE,81,15/10/2017,10:23,ENE,47,15/10/2017,16:00
Ping Chau,NNE,51,15/10/2017,06:12,NE,14,15/10/2017,15:00
Sai Kung,N,90,15/10/2017,10:24,N,51,15/10/2017,10:00
Sha Chau,NNE,101,15/10/2017,13:36,N,77,15/10/2017,14:00
Sha Lo Wan,ENE,67,15/10/2017,18:25,E,25,15/10/2017,20:00
Sha Tin,NNE,56,15/10/2017,08:43,NNE,27,15/10/2017,13:00
Shek Kong,E,49,15/10/2017,18:43,ENE,19,15/10/2017,12:00
Star Ferry (Kowloon),E,76,15/10/2017,18:00,E,36,15/10/2017,18:00
Ta Kwu Ling,N,68,15/10/2017,08:46,N,31,15/10/2017,11:00
Tai Mei Tuk,NE,104,15/10/2017,10:59,NNE,68,15/10/2017,15:00
Tai Mo Shan,ENE,121,15/10/2017,12:12,ENE,87,15/10/2017,13:00
Tai Po Kau,ENE,68,15/10/2017,15:38,ESE,34,15/10/2017,15:00
,ENE,68,15/10/2017,15:39,,,,
Tap Mun East,ENE,76,15/10/2017,18:51,ENE,51,15/10/2017,18:00
Tate's Cairn,N,151,15/10/2017,11:04,NNE,104,15/10/2017,11:00
Tseung Kwan O,NE,62,15/10/2017,10:23,N,22,15/10/2017,10:00
Tuen Mun Government Offices,NNE,62,15/10/2017,11:31,NNE,23,15/10/2017,20:00
Waglan Island,NE,106,15/10/2017,14:24,N,85,15/10/2017,10:00
Wetland Park,NE,52,15/10/2017,15:21,NE,22,15/10/2017,16:00
Wong Chuk Hang,ENE,67,15/10/2017,13:47,ENE,27,15/10/2017,15:00
