Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,E,54,24/9/2017,08:46,E,31,24/9/2017,10:00
Cheung Chau,ESE,85,24/9/2017,05:30,ESE,47,24/9/2017,16:00
,,,,,ESE,47,24/9/2017,17:00
Cheung Chau Beach,E,77,24/9/2017,05:31,ENE,49,24/9/2017,09:00
Green Island,E,62,24/9/2017,10:26,ENE,40,24/9/2017,03:00
Hong Kong International Airport,ESE,52,24/9/2017,14:39,ESE,34,24/9/2017,15:00
Kai Tak,NE,54,24/9/2017,09:24,E,30,24/9/2017,15:00
King's Park,E,51,24/9/2017,05:54,ESE,22,24/9/2017,15:00
Lau Fau Shan,E,47,24/9/2017,15:27,E,22,24/9/2017,10:00
,,,,,E,22,24/9/2017,11:00
Peng Chau,E,51,24/9/2017,10:29,E,36,24/9/2017,10:00
Ping Chau,ENE,36,24/9/2017,08:17,E,7,24/9/2017,08:00
,,,,,E,7,24/9/2017,09:00
Sai Kung,ENE,56,24/9/2017,06:19,ENE,30,24/9/2017,10:00
Sha Chau,SE,47,24/9/2017,14:40,SE,31,24/9/2017,18:00
Sha Lo Wan,SE,51,24/9/2017,17:36,E,23,24/9/2017,10:00
Sha Tin,SE,43,24/9/2017,11:58,SE,14,24/9/2017,14:00
Shek Kong,E,47,24/9/2017,09:53,E,22,24/9/2017,10:00
Star Ferry (Kowloon),E,56,24/9/2017,10:19,E,27,24/9/2017,15:00
Ta Kwu Ling,ENE,47,24/9/2017,10:48,E,16,24/9/2017,14:00
,,,,,E,16,24/9/2017,16:00
Tai Mei Tuk,E,67,24/9/2017,17:29,ENE,36,24/9/2017,11:00
Tai Mo Shan,ESE,88,24/9/2017,11:07,ESE,58,24/9/2017,11:00
Tai Po Kau,ESE,49,24/9/2017,17:33,E,31,24/9/2017,09:00
,,,,,E,31,24/9/2017,10:00
Tap Mun East,E,96,24/9/2017,10:23,E,45,24/9/2017,13:00
Tate's Cairn,ESE,87,24/9/2017,10:11,E,45,24/9/2017,08:00
Tseung Kwan O,ESE,41,24/9/2017,12:56,NE,13,24/9/2017,09:00
Tsing Yi Shell Oil Depot,SE,52,24/9/2017,13:37,SE,19,24/9/2017,15:00
Tuen Mun Government Offices,SE,51,24/9/2017,15:54,SE,22,24/9/2017,15:00
Waglan Island,E ,79,24/9/2017,05:04,ENE,56,24/9/2017,08:00
Wetland Park,ENE,31,24/9/2017,10:08,E,14,24/9/2017,15:00
Wong Chuk Hang,E,52,24/9/2017,07:44,E,20,24/9/2017,11:00
,E,52,24/9/2017,07:50,,,,
