Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SSE,67,7/6/2018,03:45,SSE,34,8/6/2018,14:00
Central Pier,SE,49,8/6/2018,13:16,ESE,23,7/6/2018,20:00
Cheung Chau,S,87,8/6/2018,09:03,ESE,52,8/6/2018,01:00
Cheung Chau Beach,S,67,8/6/2018,09:00,E,45,8/6/2018,00:00
Hong Kong International Airport,SSE,65,7/6/2018,04:04,ESE,34,8/6/2018,01:00
Kai Tak,E,62,8/6/2018,00:52,ESE,31,8/6/2018,08:00
King's Park,SSE,52,5/6/2018,13:06,E,20,6/6/2018,23:00
,,,,,E,20,7/6/2018,00:00
Lau Fau Shan,SE,54,7/6/2018,04:58,SE,25,8/6/2018,16:00
North Point,E,45,7/6/2018,07:27,E,20,7/6/2018,19:00
Peng Chau,SE,56,7/6/2018,10:04,ESE,30,8/6/2018,01:00
Ping Chau,SSE,38,8/6/2018,12:16,SSE,9,8/6/2018,15:00
Sai Kung,S,67,5/6/2018,13:09,SSE,31,8/6/2018,09:00
Sha Chau,SSW,79,8/6/2018,07:53,SE,40,8/6/2018,01:00
Sha Lo Wan,ESE,72,8/6/2018,01:56,ESE,31,8/6/2018,02:00
Sha Tin,SE,47,8/6/2018,04:49,SE,19,8/6/2018,05:00
,,,,,SE,19,8/6/2018,08:00
Shek Kong,E,41,8/6/2018,07:28,ENE,12,6/6/2018,18:00
,,,,,E,12,7/6/2018,10:00
,,,,,E,12,8/6/2018,08:00
Star Ferry (Kowloon),E,59,7/6/2018,03:58,ESE,31,8/6/2018,01:00
,,,,,E,31,8/6/2018,02:00
Ta Kwu Ling,E,40,8/6/2018,02:34,ENE,14,7/6/2018,21:00
,,,,,ENE,14,8/6/2018,00:00
Tai Mei Tuk,E,54,7/6/2018,19:59,E,30,7/6/2018,21:00
Tai Mo Shan,SE,104,7/6/2018,04:13,SE,68,8/6/2018,02:00
Tai Po Kau,ESE,51,7/6/2018,00:48,ESE,23,8/6/2018,00:00
Tap Mun East,ESE,72,8/6/2018,02:16,E,49,7/6/2018,23:00
Tate's Cairn,S,79,8/6/2018,08:41,S,45,8/6/2018,09:00
Tseung Kwan O,ESE,45,8/6/2018,00:28,E,14,8/6/2018,01:00
Tsing Yi Shell Oil Depot,SE,58,8/6/2018,07:51,SE,27,8/6/2018,10:00
Tuen Mun Government Offices,SSE,54,7/6/2018,03:19,SSE,22,8/6/2018,10:00
Wetland Park,S,45,7/6/2018,04:56,SSE,16,8/6/2018,16:00
Wong Chuk Hang,SE,54,6/6/2018,23:07,E,19,8/6/2018,08:00
