Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SSE,43,24/7/2018,00:22,SE,31,23/7/2018,16:00
Central Pier,ESE,43,24/7/2018,09:35,ESE,22,24/7/2018,09:00
Cheung Chau,SE,68,23/7/2018,18:52,ESE,43,23/7/2018,16:00
Cheung Chau Beach,E,52,23/7/2018,15:44,E,27,23/7/2018,16:00
Green Island,S,75,23/7/2018,19:23,ESE,36,23/7/2018,16:00
Hong Kong International Airport,SE,56,24/7/2018,08:50,SSE,30,24/7/2018,09:00
Kai Tak,ESE,34,23/7/2018,18:10,ESE,20,23/7/2018,16:00
,E,34,23/7/2018,18:16,,,,
,SE,34,24/7/2018,09:15,,,,
King's Park,SSE,41,24/7/2018,09:05,SSE,19,24/7/2018,09:00
Lau Fau Shan,SSE,51,23/7/2018,19:37,SE,25,24/7/2018,10:00
North Point,E,30,23/7/2018,18:45,E,14,23/7/2018,18:00
Peng Chau,ESE,47,23/7/2018,15:44,ESE,25,23/7/2018,16:00
,SSE,47,24/7/2018,03:52,SSE,25,24/7/2018,05:00
Ping Chau,SSW,36,23/7/2018,16:20,SSE,7,23/7/2018,17:00
Sai Kung,S,72,23/7/2018,15:40,SSE,34,23/7/2018,16:00
Sha Chau,SSE,52,24/7/2018,01:08,SSE,34,24/7/2018,06:00
Sha Lo Wan,SE,51,24/7/2018,09:18,S,20,24/7/2018,10:00
,SW,51,24/7/2018,10:10,,,,
Sha Tin,SSW,31,23/7/2018,15:41,SSW,14,23/7/2018,16:00
Shek Kong,SSE,31,23/7/2018,16:27,SSE,12,23/7/2018,17:00
Star Ferry (Kowloon),ESE,43,24/7/2018,02:13,ESE,22,23/7/2018,16:00
Ta Kwu Ling,S,31,23/7/2018,16:02,ESE,9,24/7/2018,10:00
Tai Mei Tuk,SSE,63,23/7/2018,15:52,SE,23,23/7/2018,16:00
Tai Mo Shan,SE,76,23/7/2018,19:26,SSE,56,23/7/2018,17:00
Tai Po Kau,ESE,31,24/7/2018,10:35,SE,16,23/7/2018,16:00
Tap Mun East,SE,68,23/7/2018,16:01,ESE,40,23/7/2018,16:00
Tate's Cairn,S,62,23/7/2018,16:26,S,38,23/7/2018,17:00
Tseung Kwan O,E,30,24/7/2018,00:30,S,12,23/7/2018,16:00
Tsing Yi Shell Oil Depot,SSE,51,23/7/2018,19:26,ESE,25,23/7/2018,16:00
Tuen Mun Government Offices,SSE,58,23/7/2018,19:20,SSE,20,24/7/2018,10:00
Waglan Island,SE,51,24/7/2018,02:44,SSE,40,24/7/2018,03:00
Wetland Park,S,40,23/7/2018,19:39,SSE,16,24/7/2018,10:00
