Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),SSE,52,10/8/2018,03:05,ESE,31,9/8/2018,18:00
Central Pier,E,52,9/8/2018,18:03,ESE,31,9/8/2018,18:00
Cheung Chau,SE,75,10/8/2018,03:18,ESE,43,9/8/2018,18:00
Cheung Chau Beach,E,59,9/8/2018,17:25,E,45,10/8/2018,00:00
Green Island,ENE,63,9/8/2018,17:24,ENE,43,9/8/2018,22:00
,ENE,63,9/8/2018,17:30,,,,
Hong Kong International Airport,ESE,62,12/8/2018,05:14,E,36,9/8/2018,19:00
Kai Tak,E,52,9/8/2018,20:04,ESE,25,9/8/2018,18:00
King's Park,E,45,10/8/2018,03:31,E,20,9/8/2018,19:00
Lau Fau Shan,E,51,9/8/2018,17:37,ENE,27,9/8/2018,22:00
North Point,E,49,9/8/2018,22:12,E,30,9/8/2018,23:00
Peng Chau,SSE,56,10/8/2018,03:30,E,34,9/8/2018,18:00
Ping Chau,S,25,10/8/2018,04:26,ESE,6,14/8/2018,11:00
Sai Kung,ENE,47,9/8/2018,22:02,SSE,31,10/8/2018,05:00
Sha Chau,SSE,47,11/8/2018,05:14,ESE,34,9/8/2018,19:00
Sha Lo Wan,SE,65,10/8/2018,16:38,E,23,9/8/2018,22:00
Sha Tin,E,34,9/8/2018,22:18,ESE,14,9/8/2018,19:00
,SSE,34,11/8/2018,04:37,,,,
Star Ferry (Kowloon),E,51,9/8/2018,17:20,E,30,9/8/2018,18:00
Ta Kwu Ling,E,41,9/8/2018,19:37,E,16,9/8/2018,20:00
Tai Mei Tuk,SE,56,12/8/2018,06:53,E,38,9/8/2018,18:00
Tai Mo Shan,ESE,79,10/8/2018,23:36,ESE,59,11/8/2018,00:00
Tai Po Kau,SE,54,9/8/2018,17:56,ESE,30,9/8/2018,18:00
Tap Mun East,ESE,58,10/8/2018,02:06,E,41,9/8/2018,20:00
Tate's Cairn,ESE,63,12/8/2018,05:11,E,47,9/8/2018,18:00
Tseung Kwan O,ESE,40,9/8/2018,18:15,ENE,13,13/8/2018,12:00
,,,,,ENE,13,13/8/2018,13:00
,,,,,ENE,13,13/8/2018,14:00
Tsing Yi Shell Oil Depot,SE,43,10/8/2018,03:46,ESE,20,11/8/2018,07:00
Tuen Mun Government Offices,E,41,9/8/2018,18:32,E,16,9/8/2018,19:00
Waglan Island,ENE,59,14/8/2018,08:06,E,45,9/8/2018,22:00
Wetland Park,SSE,31,11/8/2018,06:39,ESE,16,9/8/2018,18:00
Wong Chuk Hang,E,52,10/8/2018,03:16,ENE,14,9/8/2018,18:00
,,,,,NE,14,9/8/2018,22:00
