Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),-,157,16/9/2018,14:00,-,101,16/9/2018,15:00
Central Pier,E,169,16/9/2018,12:30,E,99,16/9/2018,13:00
Cheung Chau,E,212,16/9/2018,14:10,E,151,16/9/2018,15:00
Cheung Chau Beach,NE,209,16/9/2018,12:01,ENE,142,16/9/2018,14:00
Green Island,NNE,229,16/9/2018,10:29,NE,124,16/9/2018,11:00
Hong Kong International Airport,ESE,157,16/9/2018,16:26,E,99,16/9/2018,15:00
Kai Tak,ENE,142,16/9/2018,10:28,ESE,77,16/9/2018,17:00
,ENE,142,16/9/2018,13:59,,,,
King's Park,NNE,161,16/9/2018,10:17,E,67,16/9/2018,15:00
Lau Fau Shan,ENE,166,16/9/2018,12:40,ENE,96,16/9/2018,14:00
North Point,E,171,16/9/2018,12:51,E,110,16/9/2018,13:00
Ping Chau,E,124,16/9/2018,11:30,SSE,47,16/9/2018,11:00
Sai Kung,NE,180,16/9/2018,11:43,NE,108,16/9/2018,12:00
Sha Chau,E,164,16/9/2018,14:02,ESE,103,16/9/2018,15:00
Sha Lo Wan,E,169,16/9/2018,14:11,E,87,16/9/2018,15:00
Sha Tin,NNE,149,16/9/2018,11:42,NNE,47,16/9/2018,11:00
Shek Kong,NE,164,16/9/2018,11:22,E,72,16/9/2018,15:00
Star Ferry (Kowloon),E,135,16/9/2018,13:48,E,79,16/9/2018,14:00
Ta Kwu Ling,ENE,133,16/9/2018,13:28,NNE,52,16/9/2018,11:00
Tai Mei Tuk,ENE,198,16/9/2018,12:08,ENE,139,16/9/2018,13:00
Tai Mo Shan,ESE,250,16/9/2018,14:05,ESE,167,16/9/2018,15:00
Tai Po Kau,E,146,16/9/2018,13:09,E,88,16/9/2018,13:00
Tate's Cairn,ENE,256,16/9/2018,10:33,ENE,158,16/9/2018,12:00
Tseung Kwan O,NNE,153,16/9/2018,10:40,NNE,52,16/9/2018,11:00
Tsing Yi Shell Oil Depot,ESE,137,16/9/2018,14:22,ESE,58,16/9/2018,15:00
Tuen Mun Government Offices,E,133,16/9/2018,14:01,SE,51,16/9/2018,17:00
Waglan Island,NE,220,16/9/2018,10:14,NE,158,16/9/2018,11:00
Wetland Park,E,130,16/9/2018,13:06,E,58,16/9/2018,14:00
Wong Chuk Hang,ENE,173,16/9/2018,13:40,ENE,54,16/9/2018,14:00
