Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,70,12/9/2018,14:32,E,31,12/9/2018,19:00
Central Pier,E,62,12/9/2018,17:44,E,38,12/9/2018,16:00
,,,,,E,38,12/9/2018,17:00
Cheung Chau,ESE,67,12/9/2018,19:30,E,40,12/9/2018,20:00
,,,,,E,40,12/9/2018,21:00
Cheung Chau Beach,ENE,67,12/9/2018,14:54,ENE,51,12/9/2018,15:00
Green Island,ENE,77,12/9/2018,14:45,ENE,52,12/9/2018,17:00
Hong Kong International Airport,ENE,51,12/9/2018,16:21,ENE,31,12/9/2018,17:00
Kai Tak,ESE,54,12/9/2018,20:48,E,25,12/9/2018,22:00
King's Park,E,58,12/9/2018,18:25,E,22,12/9/2018,18:00
Lau Fau Shan,ENE,51,12/9/2018,14:34,ENE,30,12/9/2018,20:00
North Point,E,58,12/9/2018,17:19,ENE,36,12/9/2018,15:00
Peng Chau,ENE,62,12/9/2018,14:52,E,41,12/9/2018,17:00
Ping Chau,SE,31,12/9/2018,12:41,SE,7,12/9/2018,13:00
Sai Kung,ENE,56,12/9/2018,13:45,ENE,34,12/9/2018,17:00
Sha Chau,NE,49,12/9/2018,12:24,E,25,12/9/2018,15:00
,,,,,E,25,12/9/2018,19:00
Sha Lo Wan,E,47,12/9/2018,19:52,E,23,12/9/2018,17:00
Sha Tin,NE,49,12/9/2018,13:30,NE,16,12/9/2018,14:00
Shek Kong,NE,49,12/9/2018,14:25,E,22,12/9/2018,22:00
Star Ferry (Kowloon),E,54,12/9/2018,19:30,E,30,12/9/2018,20:00
Ta Kwu Ling,NE,38,12/9/2018,16:55,ENE,14,12/9/2018,14:00
Tai Mei Tuk,ENE,63,12/9/2018,14:05,ENE,47,12/9/2018,14:00
Tai Mo Shan,ESE,79,12/9/2018,21:37,ESE,58,12/9/2018,22:00
Tai Po Kau,E,45,12/9/2018,18:42,E,31,12/9/2018,19:00
,,,,,E,31,12/9/2018,22:00
Tap Mun East,ENE,58,12/9/2018,13:35,ENE,43,12/9/2018,17:00
Tate's Cairn,ENE,77,12/9/2018,13:56,E,52,12/9/2018,23:00
Tseung Kwan O,E,51,12/9/2018,15:34,NNE,14,12/9/2018,10:00
Tsing Yi Shell Oil Depot,SE,40,12/9/2018,15:37,ESE,14,12/9/2018,17:00
Tuen Mun Government Offices,ESE,43,12/9/2018,14:13,NNE,14,12/9/2018,06:00
Waglan Island,ENE,77,12/9/2018,14:24,ENE,63,12/9/2018,15:00
Wetland Park,E,36,12/9/2018,13:39,E,14,12/9/2018,15:00
Wong Chuk Hang,NE,58,12/9/2018,18:01,ENE,22,12/9/2018,18:00
