Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),-,47,31/10/2018,23:15,-,12,1/11/2018,01:00
,,,,,-,12,1/11/2018,02:00
Central Pier,NNE,47,1/11/2018,02:26,NNE,23,1/11/2018,03:00
,,,,,NE,47,1/11/2018,19:18
Cheung Chau,N,63,1/11/2018,22:41,N,36,31/10/2018,18:00
Cheung Chau Beach,NE,68,1/11/2018,23:02,NNE,31,2/11/2018,00:00
Green Island,NNE,68,31/10/2018,20:16,NNE,43,31/10/2018,21:00
Hong Kong International Airport,N,45,1/11/2018,16:37,N,31,1/11/2018,16:00
Kai Tak,NW,49,31/10/2018,12:45,N,19,31/10/2018,13:00
King's Park,NNE,51,31/10/2018,16:48,NNE,22,31/10/2018,14:00
Lau Fau Shan,N,56,1/11/2018,17:41,N,31,1/11/2018,18:00
North Point,N,41,31/10/2018,12:33,N,23,31/10/2018,13:00
,N,41,31/10/2018,12:44,,,,
Peng Chau,N,56,31/10/2018,11:05,N,34,1/11/2018,23:00
,N,56,31/10/2018,11:06,,,,
Ping Chau,NNE,34,1/11/2018,20:00,N,9,1/11/2018,14:00
,,,,,N,9,1/11/2018,16:00
Sai Kung,N,59,31/10/2018,13:52,N,36,31/10/2018,14:00
Sha Chau,N,56,1/11/2018,15:48,N,41,1/11/2018,18:00
,N,56,1/11/2018,15:49,,,,
Sha Lo Wan,NE,41,31/10/2018,22:02,NE,19,1/11/2018,03:00
Sha Tin,NNE,41,31/10/2018,12:36,NNE,19,31/10/2018,13:00
Shek Kong,NNE,43,31/10/2018,12:25,NE,20,31/10/2018,11:00
Star Ferry (Kowloon),W,30,31/10/2018,13:23,WNW,7,31/10/2018,13:00
Ta Kwu Ling,NNE,54,1/11/2018,01:19,NNE,23,1/11/2018,20:00
,NE,54,1/11/2018,16:25,N,23,1/11/2018,22:00
Tai Mei Tuk,N,63,1/11/2018,18:03,NE,36,31/10/2018,13:00
Tai Mo Shan,NE,88,31/10/2018,20:36,NE,68,31/10/2018,21:00
Tai Po Kau,N,43,31/10/2018,13:46,WNW,19,1/11/2018,19:00
Tap Mun East,N,51,1/11/2018,17:46,NNW,22,1/11/2018,19:00
,,,,,N,22,1/11/2018,20:00
Tate's Cairn,N,79,31/10/2018,23:49,N,58,31/10/2018,22:00
,,,,,N,58,31/10/2018,23:00
,,,,,N,58,1/11/2018,01:00
,,,,,NNW,58,1/11/2018,21:00
,,,,,NNW,58,1/11/2018,22:00
Tseung Kwan O,NE,43,1/11/2018,20:56,NE,19,1/11/2018,13:00
Tsing Yi Shell Oil Depot,N,56,1/11/2018,20:24,NNW,23,1/11/2018,13:00
Tuen Mun Government Offices,NNE,62,1/11/2018,21:33,NNE,23,1/11/2018,22:00
Waglan Island,N,58,1/11/2018,15:47,N,49,1/11/2018,16:00
Wetland Park,NNE,41,31/10/2018,23:43,NNE,13,1/11/2018,19:00
Wong Chuk Hang,NW,43,31/10/2018,21:17,W,13,1/11/2018,21:00
