Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),S,59,3/7/2019,04:22,E,23,2/7/2019,17:00
Central Pier,E,41,2/7/2019,17:56,ESE,23,2/7/2019,17:00
Cheung Chau,ESE,83,2/7/2019,23:59,E,34,2/7/2019,17:00
Cheung Chau Beach,E,72,2/7/2019,23:59,E,38,2/7/2019,17:00
Green Island,SSE,65,3/7/2019,04:36,ENE,41,2/7/2019,17:00
,,,,,ENE,41,2/7/2019,19:00
Hong Kong International Airport,ESE,43,2/7/2019,17:16,E,31,2/7/2019,17:00
Kai Tak,ESE,47,2/7/2019,21:43,E,22,2/7/2019,17:00
King's Park,E,41,2/7/2019,21:47,E,16,2/7/2019,17:00
Lamma Island,ESE,47,3/7/2019,04:28,E,25,2/7/2019,17:00
Lau Fau Shan,ENE,41,2/7/2019,19:10,ENE,25,2/7/2019,20:00
North Point,E,45,2/7/2019,21:42,E,22,2/7/2019,17:00
Peng Chau,E,47,2/7/2019,16:25,E,34,2/7/2019,18:00
Ping Chau,SE,25,2/7/2019,22:15,E,9,2/7/2019,22:00
Sai Kung,SE,47,2/7/2019,21:52,ENE,13,2/7/2019,19:00
Sha Chau,SE,56,3/7/2019,00:28,SE,31,2/7/2019,18:00
Sha Lo Wan,ENE,47,2/7/2019,17:04,E,20,2/7/2019,17:00
Sha Tin,ESE,51,3/7/2019,04:55,E,12,2/7/2019,17:00
Shek Kong,E,40,2/7/2019,19:39,E,23,2/7/2019,18:00
Star Ferry (Kowloon),E,43,2/7/2019,21:44,E,22,2/7/2019,17:00
Ta Kwu Ling,ESE,41,2/7/2019,17:08,E,20,2/7/2019,18:00
Tai Mei Tuk,E,56,2/7/2019,22:11,ENE,27,2/7/2019,20:00
Tai Mo Shan,ESE,81,2/7/2019,16:15,E,62,2/7/2019,17:00
,E,81,2/7/2019,16:53,,,,
Tai Po Kau,ESE,54,2/7/2019,22:14,E,22,2/7/2019,17:00
Tap Mun East,ESE,56,2/7/2019,21:57,ESE,40,2/7/2019,17:00
Tate's Cairn,S,70,3/7/2019,04:46,E,36,2/7/2019,17:00
Tseung Kwan O,SW,47,3/7/2019,04:43,N,9,2/7/2019,19:00
Tsing Yi Shell Oil Depot,E,45,2/7/2019,22:02,ESE,14,2/7/2019,18:00
,,,,,E,14,2/7/2019,19:00
,,,,,E,14,3/7/2019,01:00
Tuen Mun Government Offices,SSE,43,3/7/2019,00:27,SSE,12,2/7/2019,23:00
Waglan Island,S,72,3/7/2019,04:26,E,45,2/7/2019,17:00
Wetland Park,SE,27,2/7/2019,16:55,ESE,13,2/7/2019,17:00
Wong Chuk Hang,W,45,3/7/2019,04:31,E,19,2/7/2019,17:00
