Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),NNW,43,25/8/2019,00:51,WNW,22,25/8/2019,12:00
Central Pier,N,77,25/8/2019,00:38,W,25,24/8/2019,16:00
Cheung Chau,NE,96,25/8/2019,01:25,W,31,25/8/2019,00:00
Cheung Chau Beach,N,104,25/8/2019,01:22,N,40,25/8/2019,02:00
Green Island,NE,96,25/8/2019,00:40,NNW,34,25/8/2019,01:00
Hong Kong International Airport,NE,75,25/8/2019,01:30,WSW,36,25/8/2019,14:00
Kai Tak,N,65,25/8/2019,00:37,W,20,24/8/2019,16:00
King's Park,NNW,79,25/8/2019,00:37,W,16,25/8/2019,01:00
Lamma Island,N,58,25/8/2019,01:10,WSW,36,25/8/2019,12:00
Lau Fau Shan,WNW,68,25/8/2019,11:14,SW,31,25/8/2019,14:00
North Point,N,62,25/8/2019,00:38,W,27,25/8/2019,13:00
Peng Chau,NE,68,25/8/2019,01:15,ENE,27,25/8/2019,02:00
Ping Chau,NE,51,25/8/2019,00:17,WSW,22,25/8/2019,15:00
Sai Kung,NW,58,25/8/2019,00:29,NW,23,25/8/2019,01:00
Sha Chau,ENE,77,25/8/2019,01:27,SSW,31,25/8/2019,18:00
Sha Lo Wan,E,54,25/8/2019,01:39,SW,22,25/8/2019,14:00
Sha Tin,NNE,62,25/8/2019,00:23,SSW,20,25/8/2019,15:00
,N,62,25/8/2019,00:24,,,,
Shek Kong,E,49,25/8/2019,00:54,E,12,25/8/2019,01:00
Star Ferry (Kowloon),WNW,56,25/8/2019,11:58,W,25,25/8/2019,12:00
Ta Kwu Ling,NNE,59,25/8/2019,00:53,NE,14,25/8/2019,01:00
Tai Mei Tuk,NW,76,25/8/2019,00:17,NE,34,25/8/2019,01:00
Tai Mo Shan,NNE,113,25/8/2019,01:07,WSW,77,25/8/2019,16:00
Tai Po Kau,NE,85,25/8/2019,00:22,WNW,14,25/8/2019,01:00
Tap Mun East,NW,52,25/8/2019,00:20,W,27,25/8/2019,15:00
Tseung Kwan O,NNW,41,25/8/2019,00:30,NNW,9,25/8/2019,01:00
Tsing Yi Shell Oil Depot,NNW,51,25/8/2019,01:26,WNW,20,25/8/2019,12:00
Tuen Mun Government Offices,NNE,63,25/8/2019,01:16,WSW,16,25/8/2019,15:00
Waglan Island,WNW,72,25/8/2019,11:54,W,47,25/8/2019,14:00
Wetland Park,ENE,47,25/8/2019,01:02,ENE,13,25/8/2019,02:00
Wong Chuk Hang,WSW,38,25/8/2019,00:38,W,16,25/8/2019,01:00
