Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Bluff Head (Stanley),ENE,65,29/8/2019,04:42,E,30,29/8/2019,02:00
,,,,,ENE,30,29/8/2019,05:00
Central Pier,E,56,29/8/2019,04:40,E,34,29/8/2019,05:00
Cheung Chau,ESE,63,29/8/2019,04:22,E,40,29/8/2019,05:00
Cheung Chau Beach,-,68,29/8/2019,03:06,-,47,29/8/2019,04:00
Green Island,ENE,67,29/8/2019,04:26,ENE,45,29/8/2019,05:00
Hong Kong International Airport,E,47,29/8/2019,00:38,E,34,29/8/2019,01:00
Kai Tak,E,59,29/8/2019,04:43,E,25,29/8/2019,05:00
Lamma Island,E,58,29/8/2019,03:50,E,25,29/8/2019,04:00
King's Park,E,56,29/8/2019,01:52,E,22,29/8/2019,03:00
Lau Fau Shan,ENE,52,29/8/2019,09:59,ENE,30,29/8/2019,12:00
North Point,E,59,29/8/2019,03:05,E,36,29/8/2019,05:00
Peng Chau,E,52,29/8/2019,04:36,E,40,29/8/2019,05:00
Ping Chau,E,31,28/8/2019,23:54,E,14,29/8/2019,02:00
Sai Kung,ENE,49,29/8/2019,03:47,ENE,31,29/8/2019,09:00
Sha Chau,ESE,43,29/8/2019,04:41,SE,31,28/8/2019,22:00
,ESE,43,29/8/2019,04:50,,,,
Sha Lo Wan,ESE,54,28/8/2019,23:27,E,27,29/8/2019,03:00
,ESE,54,28/8/2019,23:31,,,,
Sha Tin,NE,47,29/8/2019,04:28,E,16,29/8/2019,05:00
Shek Kong,E,58,29/8/2019,04:41,E,23,29/8/2019,09:00
Star Ferry (Kowloon),E,49,29/8/2019,04:31,E,25,29/8/2019,03:00
Ta Kwu Ling,E,38,28/8/2019,22:05,E,16,28/8/2019,23:00
Tai Mo Shan,E,83,29/8/2019,02:07,E,54,29/8/2019,02:00
Tai Po Kau,E,45,29/8/2019,04:21,E,34,29/8/2019,05:00
Tap Mun East,E,62,29/8/2019,01:34,E,45,29/8/2019,01:00
,,,,,E,45,29/8/2019,02:00
Tate's Cairn,-,72,29/8/2019,04:30,-,45,29/8/2019,05:00
Tseung Kwan O,E,45,29/8/2019,04:43,ENE,12,29/8/2019,11:00
Tsing Yi Shell Oil Depot,ESE,45,29/8/2019,03:57,ESE,19,29/8/2019,04:00
Tuen Mun Government Offices,ESE,52,29/8/2019,12:11,ESE,14,28/8/2019,22:00
Waglan Island,ENE,67,29/8/2019,04:26,ENE,51,29/8/2019,08:00
Wetland Park,ESE,38,29/8/2019,10:19,E,16,29/8/2019,11:00
,ENE,38,29/8/2019,12:09,,,,
Wong Chuk Hang,ENE,58,29/8/2019,02:27,ENE,22,29/8/2019,04:00
,,,,,ENE,22,29/8/2019,05:00
