Station,Maximum Gust Direction,Maximum Gust Speed (km/h),Maximum Gust Date/Month,Maximum Gust Time,Maximum Hourly Mean Wind Direction,Maximum Hourly Mean Wind Speed (km/h),Maximum Hourly Mean Wind Date/Month,Maximum Hourly Mean Wind Time
Central Pier,ESE,63,13/6/2020,23:28,ESE,33,13/6/2020,23:00
Cheung Chau,E,71,13/6/2020,22:23,E,54,14/6/2020,01:00
Cheung Chau Beach,E,69,14/6/2020,00:48,E,50,13/6/2020,23:00
Green Island,S,69,14/6/2020,05:56,ENE,45,13/6/2020,20:00
Hong Kong International Airport,SE,65,14/6/2020,06:43,E,34,14/6/2020,02:00
Kai Tak,ENE,62,13/6/2020,21:44,ESE,30,14/6/2020,03:00
King's Park,E,57,13/6/2020,23:50,E,28,13/6/2020,23:00
Lamma Island,SE,63,14/6/2020,05:58,E,32,13/6/2020,23:00
Lau Fau Shan,SE,51,14/6/2020,06:33,ENE,28,13/6/2020,20:00
North Point,ENE,57,13/6/2020,18:26,E,35,13/6/2020,21:00
Peng Chau,SE,58,14/6/2020,06:00,E,36,13/6/2020,22:00
Ping Chau,SE,42,14/6/2020,02:45,E,10,13/6/2020,16:00
,,,,,E,10,13/6/2020,20:00
Sai Kung,SSE,64,14/6/2020,06:10,SSE,36,14/6/2020,04:00
Sha Chau,S,66,14/6/2020,09:28,SE,40,14/6/2020,02:00
Sha Lo Wan,ESE,69,14/6/2020,03:55,ESE,26,14/6/2020,02:00
,,,,,ESE,26,14/6/2020,05:00
Sha Tin,SSE,48,14/6/2020,01:42,SE,19,14/6/2020,02:00
,,,,,SSE,19,14/6/2020,05:00
Star Ferry (Kowloon),ESE,59,14/6/2020,02:19,E,33,13/6/2020,23:00
,ESE,59,14/6/2020,06:05,,,,
Ta Kwu Ling,E,51,13/6/2020,23:08,E,21,14/6/2020,00:00
Tai Mei Tuk,E,68,13/6/2020,22:48,E,46,13/6/2020,23:00
Tai Mo Shan,ESE,103,13/6/2020,21:47,ESE,75,14/6/2020,00:00
Tai Po Kau,SE,55,14/6/2020,01:57,E,32,13/6/2020,22:00
Tap Mun East,ESE,73,13/6/2020,22:34,ESE,52,13/6/2020,23:00
Tate's Cairn,-,84,13/6/2020,22:25,-,58,13/6/2020,22:00
Tseung Kwan O,ESE,53,14/6/2020,01:44,ESE,15,14/6/2020,02:00
Tsing Yi Shell Oil Depot,SE,56,14/6/2020,06:18,ESE,26,14/6/2020,05:00
Tuen Mun Government Offices,SSE,51,14/6/2020,06:25,SSE,24,14/6/2020,07:00
Waglan Island,ENE,75,13/6/2020,18:57,ESE,54,14/6/2020,02:00
Wetland Park,ESE,35,13/6/2020,16:12,E,15,13/6/2020,17:00
Wong Chuk Hang,E,67,14/6/2020,01:35,E,23,13/6/2020,23:00
