Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang, 
(2002,Nuri,nan,33,54,50,45,34,30,28,32,28,nan,35,36,10,36,40,26,19,nan,33,21,46,75,32,52,58,15,26,24,54,15,23, 
(1914,Kajiki,31,34,43,51,51,34,25,22,30,25,nan,36,40,16,34,27,27,19,20,27,16,nan,67,34,45,54,14,20,12,56,13,22, 
(1912,Podul,30,34,40,47,45,34,25,22,25,30,nan,36,40,14,31,31,27,16,23,25,16,nan,54,34,45,45,12,19,14,51,16,22, 
(1911,Bailu,22,25,31,40,34,36,20,16,36,31,nan,27,27,22,23,31,22,20,12,25,14,34,77,14,27,nan,9,20,16,47,13,16, 
(1907,Wipha,51,43,72,68,59,47,34,31,43,31,nan,47,54,22,40,49,41,23,31,45,23,59,88,43,63,76,20,31,23,70,20,31, 
(1904,Mun,23,23,34,38,41,31,22,16,25,25,nan,22,34,9,13,31,20,12,23,22,20,27,62,22,40,36,9,14,12,45,13,19, 
(1826,Yutu,12,23,36,31,43,31,19,22,nan,31,nan,23,34,9,36,41,19,19,20,7,23,36,68,19,22,58,19,23,23,49,13,13, 
(1822,Mangkhut,101,99,151,142,124,99,77,67,nan,96,nan,110,nan,47,108,103,87,47,72,79,52,139,167,88,nan,158,52,58,51,158,58,54, 
(1823,Barijat,31,38,40,51,52,31,25,22,nan,30,nan,36,41,7,34,25,23,16,22,30,14,47,58,31,43,52,14,14,14,63,14,22, 
(1816,Bebinca,31,31,43,45,43,36,25,20,nan,27,nan,30,34,6,31,34,23,14,nan,30,16,38,59,30,41,47,13,20,16,45,16,14, 
(1809_2,Son-Tinh_2,31,22,43,27,36,30,20,19,nan,25,nan,14,25,7,34,34,20,14,12,22,9,23,56,16,40,38,12,25,20,40,16,nan, 
(1809_1,Son-Tinh_1,49,38,63,58,43,36,31,30,nan,20,nan,31,41,7,27,38,31,13,22,34,16,47,90,34,52,54,16,22,16,56,13,nan, 
(1804,Ewiniar,34,23,52,45,nan,34,31,20,nan,25,nan,20,30,9,31,40,31,19,12,31,14,30,68,23,49,45,14,27,22,nan,16,19, 
(1720,Khanun,nan,36,65,68,65,49,31,34,nan,40,nan,43,47,14,51,77,25,27,19,36,31,68,87,34,51,104,22,nan,23,85,22,27, 
(1722W,TD1722W,nan,31,47,49,40,34,30,22,nan,22,nan,nan,36,7,30,31,23,14,22,27,16,36,58,31,45,45,13,19,22,56,14,20, 
(1716,Mawar,25,22,45,38,nan,45,25,16,nan,40,nan,31,25,22,16,47,31,23,12,31,13,31,59,16,25,52,12,20,16,63,12,13, 
(1714,Pakhar,68,63,101,101,nan,68,52,47,nan,54,118,72,79,22,67,77,58,31,41,58,34,103,121,68,101,108,27,31,40,108,31,40, 
(1713,Hato,87,70,124,121,nan,90,67,52,nan,65,131,85,96,25,70,88,nan,38,45,59,41,94,90,68,94,118,36,43,43,130,38,43, 
(1707,Roke,20,25,34,36,40,27,22,13,nan,31,41,30,25,19,23,27,14,14,19,27,14,31,49,25,36,45,14,19,16,40,12,12, 
(1702,Merbok,31,51,58,51,63,51,41,30,nan,52,77,59,49,36,49,58,nan,23,nan,59,22,54,77,40,nan,85,23,31,25,87,22,31, 
(1622,Haima,40,51,67,59,67,65,43,31,nan,70,nan,58,59,38,38,43,31,23,22,63,20,63,115,47,nan,77,19,51,40,83,22,31, 
(1621,Sarika,47,43,59,67,59,36,41,30,nan,25,nan,45,51,14,40,41,31,16,31,40,22,63,77,43,nan,68,13,23,16,72,16,30, 
(1619,Aere,22,22,31,30,38,30,16,14,nan,31,nan,19,25,7,30,41,14,14,13,16,13,30,nan,14,nan,54,13,16,14,47,13,nan, 
(1617,Megi,16,31,34,25,23,36,30,16,nan,40,31,31,45,14,19,25,13,9,14,31,13,27,59,23,nan,38,9,27,16,34,16,16, 
