Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang
(2016,Nangka,45,48,60,70,74,48,37,32,42,30,nan,51,60,nan,53,42,nan,28,nan,40,22,57,nan,43,58,77,20,26,16,85,23,35
(2007,Higos,67,51,108,85,60,68,56,43,58,38,nan,54,59,nan,54,77,nan,29,nan,57,29,61,nan,54,76,89,28,39,nan,89,30,38
(2003,Sinlaku,50,47,77,66,54,57,45,38,48,42,nan,45,50,16,51,62,36,24,nan,48,28,59,87,45,62,67,23,33,30,73,22,33
(2002,Nuri,nan,40,57,58,52,46,40,31,39,35,nan,43,43,13,49,47,32,26,nan,40,24,55,83,39,61,66,19,30,30,60,19,29
(1914,Kajiki,38,41,63,60,59,40,32,30,36,36,nan,44,48,21,42,32,33,24,25,33,22,nan,74,42,53,62,18,26,15,68,17,28
(1912,Podul,36,41,46,55,52,41,31,27,30,36,nan,44,48,18,37,37,33,20,29,31,20,nan,59,42,53,51,15,24,18,58,20,28
(1911,Bailu,27,30,36,47,40,43,25,20,43,38,nan,33,32,28,28,37,27,25,15,31,18,40,85,17,32,nan,12,25,20,53,17,20
(1907,Wipha,62,52,87,79,69,59,47,41,52,53,nan,57,65,28,56,58,51,31,39,55,29,70,97,53,74,87,26,43,29,94,25,39
(1904,Mun,28,28,39,44,48,37,27,20,30,30,nan,27,41,12,16,37,25,15,29,27,25,32,68,27,47,41,12,18,15,51,17,24
(1826,Yutu,15,28,41,36,50,36,24,27,nan,37,nan,28,41,12,42,49,23,22,25,9,29,43,75,23,26,66,24,28,29,54,17,16
(1822,Mangkhut,122,120,173,166,144,115,90,81,nan,110,nan,134,nan,60,118,122,107,58,91,96,62,165,184,108,nan,180,67,63,64,180,74,68
(1823,Barijat,38,46,45,60,61,40,29,30,nan,35,nan,44,49,9,38,30,28,21,28,37,19,56,64,38,51,59,18,20,18,68,18,28
(1816,Bebinca,38,38,61,53,50,40,29,25,nan,32,nan,37,41,8,36,40,28,17,nan,37,19,45,65,37,48,54,17,27,20,49,20,18
(1809_2,Son-Tinh_2,38,27,50,32,42,36,25,24,nan,30,nan,17,30,9,41,40,25,18,15,27,11,27,62,20,47,43,15,32,25,45,20,nan
(1809_1,Son-Tinh_1,59,46,71,68,50,52,38,31,nan,28,nan,38,49,9,40,45,38,18,28,42,27,56,99,42,61,62,20,27,20,63,17,nan
(1804,Ewiniar,41,28,66,53,nan,49,37,27,nan,33,nan,24,36,12,43,47,38,27,15,38,20,36,75,28,58,51,18,33,28,nan,20,24
(1720,Khanun,nan,44,79,79,76,52,39,40,nan,45,nan,53,56,18,58,91,31,30,24,44,35,81,96,42,60,119,28,24,29,92,28,34
(1722W,TD1722W,nan,38,55,57,47,41,37,27,nan,27,nan,nan,43,9,36,37,28,18,28,33,20,43,64,38,53,51,17,24,28,64,18,25
(1716,Mawar,30,27,50,44,nan,49,33,22,nan,50,nan,38,30,28,20,56,38,30,15,38,18,37,65,20,29,59,15,23,20,68,15,16
(1714,Pakhar,82,77,113,118,nan,76,64,58,nan,62,127,88,94,28,75,91,71,38,52,71,41,122,133,84,119,123,35,43,50,113,39,50
(1713,Hato,105,85,133,141,nan,103,81,63,nan,78,141,104,115,32,80,104,nan,45,57,72,49,111,99,84,110,134,46,55,54,142,48,54
(1707,Roke,24,30,37,42,47,30,28,20,nan,36,44,37,30,24,31,32,17,18,24,33,17,37,54,31,42,51,18,24,20,49,15,15
