Typhoon Code,Typhoon Name,Highest Typhoon Signal Issued,Closest Point of Approach (km),CPA Bearing,CPA Intensity (km/h),CPA Radius of Maximum Winds (km),CPA Date,CPA Time
(2016,Nangka,8,530,SSW,85,130,13/10/2020,17:00
(2007,Higos,9,80,WSW,130,28,19/8/2020,05:00
(2003,Sinlaku,3,580,SW,55,250,1/8/2020,10:00
(2002,Nuri,3,190,SSW,75,60,14/6/2020,02:00
(1914,Kajiki,3,330,S,55,185,1/9/2019,21:00
(1912,Podul,1,560,S,85,120,29/8/2019,02:00
(1911,Bailu,1,370,NNE,90,65,25/8/2019,07:00
(1907,Wipha,8,310,SSW,85,150,31/8/2019,17:00
(1904,Mun,1,440,SSW,45,200,2/7/2019,16:00
(1826,Yutu,3,400,ESE,90,90,1/11/2018,08:00
(1822,Mangkhut,10,100,SSW,175,55,16/9/2018,13:00
(1823,Barijat,3,150,S,65,50,12/9/2018,15:00
(1816,Bebinca,3,420,SW,55,180,10/8/2018,10:00
(1809_2,Son-Tinh_2,1,430,WSW,55,160,23/7/2018,22:00
(1809_1,Son-Tinh_1,3,420,SSW,85,90,18/7/2018,00:00
(1804,Ewiniar,3,230,W,75,65,8/6/2018,01:00
(1720,Khanun,8,210,SSW,145,40,15/10/2017,15:00
(1722W,TD1722W,1,470,SSW,55,150,24/9/2017,12:00
(1716,Mawar,3,120,NNE,55,80,4/9/2017,07:00
(1714,Pakhar,8,90,SW,115,65,27/8/2017,07:00
(1713,Hato,10,60,SSW,185,25,23/8/2017,10:00
(1707,Roke,8,25,N/A,65,60,23/7/2017,10:00
(1702,Merbok,8,35,NE,90,30,12/6/2017,23:00
(1622,Haima,8,110,ENE,130,60,21/10/2016,13:00
(1621,Sarika,3,520,SW,145,50,18/10/2016,05:00
(1619,Aere,1,270,ESE,85,45,8/10/2016,10:00
(1617,Megi,1,390,NNE,85,50,28/9/2016,14:00
(1614,Meranti,1,520,E,195,25,14/9/2016,18:00
(1608,Dianmu,3,250,SW,55,90,18/8/2016,00:00
(1604,Nida,8,40,NNW,110,35,2/8/2016,05:00
(1603,Mirinae,1,490,SSW,65,55,26/7/2016,14:00
(1601W,TD1601W,3,260,SW,55,105,27/5/2016,09:00
(1522,Mujigae,3,320,SW,175,25,4/10/2015,06:00
(1510,Linfa,8,65,NNE,65,45,9/7/2015,19:00
(1508,Kujira,1,510,SW,65,80,22/6/2015,16:00
(1415,Kalmaegi,8,370,SSW,130,60,16/9/2014,00:00
